listed_space_id,property_source_key,property_name,business_park,location_address_street_number_min,location_address_street_name,location_street_address,location_address_locality,location_address_region,location_address_postal_code_5,property_standardized_address,location_county,location_geopoint_latitude,location_geopoint_longitude,category,subcategory,lot_zoning,lot_total_sf,buildings_size_gross_sf,buildings_size_rentable_sf,building_retail_size_sf,building_office_size_sf,building_industrial_size_sf,listed_space_title,days_on_market,listed_space_start_date,listed_space_expiration_date,listed_space_availability_available_date,listed_space_availability_vacant_date,listed_space_availability_off_market_date,listed_space_type,listed_space_availability_status,space_category,space_size_available,lease_is_sublease_flag,lease_sublease_expiration_date,lease_transaction_agreement_signed_date,lease_transaction_commencement_date,lease_transaction_is_renewal_flag,lease_terms,lease_type,lease_asking_rent_general_price_minimum_amount,lease_asking_rent_general_price_minimum_currency,lease_asking_rent_general_price_maximum_amount,lease_asking_rent_general_price_maximum_currency,lease_asking_rent_general_price_average_amount,lease_asking_rent_general_price_period,lease_asking_rent_general_price_size,lease_asking_rent_general_price_is_negotiable_flag,lease_asking_rent_industrial_office_price_minimum_amount,lease_asking_rent_industrial_office_price_minimum_currency,lease_asking_rent_industrial_office_price_maximum_amount,lease_asking_rent_industrial_office_price_maximum_currency,lease_asking_rent_industrial_office_price_average_amount,lease_asking_rent_industrial_office_price_period,lease_asking_rent_industrial_office_price_size,lease_asking_rent_industrial_office_price_is_negotiable_flag,lease_asking_rent_industrial_shell_price_minimum_amount,lease_asking_rent_industrial_shell_price_minimum_currency,lease_asking_rent_industrial_shell_price_maximum_amount,lease_asking_rent_industrial_shell_price_maximum_currency,lease_asking_rent_industrial_shell_price_average_amount,lease_asking_rent_industrial_shell_price_period,lease_asking_rent_industrial_shell_price_size,lease_asking_rent_industrial_shell_price_is_negotiable_flag,lease_transaction_rent_general_price_minimum_amount,lease_transaction_rent_general_price_minimum_currency,lease_transaction_rent_general_price_maximum_amount,lease_transaction_rent_general_price_maximum_currency,lease_transaction_rent_general_price_average_amount,lease_transaction_rent_general_price_period,lease_transaction_rent_general_price_size,lease_transaction_rent_industrial_office_price_minimum_amount,lease_transaction_rent_industrial_office_price_minimum_currency,lease_transaction_rent_industrial_office_price_maximum_amount,lease_transaction_rent_industrial_office_price_maximum_currency,lease_transaction_rent_industrial_office_price_average_amount,lease_transaction_rent_industrial_office_price_period,lease_transaction_rent_industrial_office_price_size,lease_transaction_rent_industrial_shell_price_minimum_amount,lease_transaction_rent_industrial_shell_price_minimum_currency,lease_transaction_rent_industrial_shell_price_maximum_amount,lease_transaction_rent_industrial_shell_price_maximum_currency,lease_transaction_rent_industrial_shell_price_average_amount,lease_transaction_rent_industrial_shell_price_period,lease_transaction_rent_industrial_shell_price_size,lease_expense_type,lease_nnn_expenses_apsf_amount,lease_nnn_expenses_apsf_currency,lease_rent_escalation_type,lease_rent_escalation_description,sale_price_amount,sale_price_currency,sale_terms
6081f23915cc0600063be8d7,3ebdd79331788fb623bae55f46e2764897555ced,816 Congress,,,816 Congress Ave,816 Congress Ave,Austin,TX,78701,816 Congress Ave Austin TX 78701-2442,Travis,30.27061992,-97.74237789,OFFICE,GENERAL,CBD,29797.78428000,886580,,,,,816 Congress Ave,224,2021-04-22,,2021-04-22,,2021-12-02,LEASE,LEASED,OFFICE,1842,,,2021-12-02,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6081f64315cc0600063bed36,3ebdd79331788fb623bae55f46e2764897555ced,816 Congress,,,816 Congress Ave,816 Congress Ave,Austin,TX,78701,816 Congress Ave Austin TX 78701-2442,Travis,30.27061992,-97.74237789,OFFICE,GENERAL,CBD,29797.78428000,886580,,,,,816 Congress Ave,,2021-04-22,,2021-04-22,,2021-07-09,LEASE,WITHDRAWN,OFFICE,10427,,,,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686daa9e2baf0c7457d72e94,f6eb8732219611fcb18fb896bb4964b6702277af,San Jacinto Building,San Jacinto ,814,San Jacinto Blvd,814 San Jacinto Blvd,Austin,TX,78701,814 San Jacinto Blvd Austin TX 78701-2685,Travis,30.26999708,-97.73974586,OFFICE,GENERAL,CBD,11601.42192000,39687,,,,,814 San Jacinto Blvd,,2025-07-08,,2025-07-08,,,LEASE,AVAILABLE,OFFICE,1440,0.00000000,,,,,1-3 years,FULL_SERVICE,22.50000000,USD,22.50000000,USD,22.50000000,ANNUAL,SF,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03000000,USD,,,,,
63c7a4a18a7e4800068fc4c0,bf05c0f1727f59eb7618e6acf40c09d747354ef0,Capital Plaza Office Building,,5407,N Interstate 35,5407 N Interstate 35,Austin,TX,78723,5407 N Interstate 35 Austin TX 78723-2492,Travis,30.31432489,-97.70696339,OFFICE,GENERAL,CS-V-NP,1629904.03488000,49900,,,,,5407 N Interstate 35,,2023-01-18,,2023-01-18,,2023-03-10,LEASE,WITHDRAWN,OFFICE,4076,0.00000000,,,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666087876d5b3134d75b966e,f6eb8732219611fcb18fb896bb4964b6702277af,San Jacinto Building,San Jacinto ,814,San Jacinto Blvd,814 San Jacinto Blvd,Austin,TX,78701,814 San Jacinto Blvd Austin TX 78701-2685,Travis,30.26999708,-97.73974586,OFFICE,GENERAL,CBD,11601.42192000,39687,,,,,San Jacinto Bldg,,2024-06-05,,2024-06-05,,,LEASE,AVAILABLE,OFFICE,880,0.00000000,,,,,1-3 Years,FULL_SERVICE,22.50000000,USD,22.50000000,USD,22.50000000,ANNUAL,SF,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03000000,USD,,,,,
63dbc60cb09fe200075a2d42,00eb480478b6f97b239f4ed47400b866e155bd8a,3700 N Capital Of Texas Hwy ,,,3700 N Capital Of Texas Hwy,3700 N Capital Of Texas Hwy,Austin,TX,78746,3700 N Capital of Texas Hwy Austin TX 78746-3451,Travis,30.33649424,-97.80732907,OFFICE,GENERAL,PUD,634669.20000000,259870,,,,,3700 San Clemente,414,2023-02-13,,,,2024-04-02,LEASE,LEASED,OFFICE,3589,0.00000000,,2024-04-02,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641db5aa2974730006fdfef3,e6653bf03f9f1ea408c5146d2ebf1d8a1bec80e8,5918 W Courtyard Dr,Bridgepoint Plaza I,5918,W Courtyard Dr,5918 W Courtyard Dr,Austin,TX,78730,5918 W Courtyard Dr Austin TX 78730-5037,Travis,30.35355951,-97.79729767,OFFICE,CORPORATE_FACILITY,LR,385041.30192000,104848,,,,,5918 W Courtyard Dr,,2023-03-24,,2023-03-24,,,LEASE,AVAILABLE,OFFICE,8339,0.00000000,,,,,White Box Condition,NNN,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.49000000,USD,,,,,
60f5845adf6b6c00069fcba6,00eb480478b6f97b239f4ed47400b866e155bd8a,3700 N Capital Of Texas Hwy ,,,3700 N Capital Of Texas Hwy,3700 N Capital Of Texas Hwy,Austin,TX,78746,3700 N Capital of Texas Hwy Austin TX 78746-3451,Travis,30.33649424,-97.80732907,OFFICE,GENERAL,PUD,634669.20000000,259870,,,,,3700 N Capital Of Texas Hwy ,,2023-02-13,,,,2025-10-23,LEASE,WITHDRAWN,OFFICE,23180,0.00000000,,,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62839aae4560ff00078b6267,00eb480478b6f97b239f4ed47400b866e155bd8a,3700 N Capital Of Texas Hwy ,,,3700 N Capital Of Texas Hwy,3700 N Capital Of Texas Hwy,Austin,TX,78746,3700 N Capital of Texas Hwy Austin TX 78746-3451,Travis,30.33649424,-97.80732907,OFFICE,GENERAL,PUD,634669.20000000,259870,,,,,3700 N Capital Of Texas Hwy,262,2022-05-17,,2022-11-01,,2023-02-03,LEASE,LEASED,OFFICE,14514,,,2023-02-03,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6543818cfdd5520962d0c68f,b64905f9f95ba00b76acae224c3adc3f3170b65d,Perry Brooks Tower,,720,Brazos St,720 Brazos St,Austin,TX,78701,720 Brazos St Austin TX 78701-3251,Travis,30.26926542,-97.74117882,OFFICE,GENERAL,CBD,44945.90496000,137709,,,,,Perry Brooks Tower,,2023-11-02,,,,2024-09-09,LEASE,WITHDRAWN,OFFICE,5343,0.00000000,,,,,,,,,,,,ANNUAL,SF,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
